4.55,0.13816581666469574,MP5-SD | Kitbash (Minimal Wear)
4.55,0.13707081973552704,MP5-SD | Kitbash (Minimal Wear)
4.57,0.14991340041160583,MP5-SD | Kitbash (Minimal Wear)
4.57,0.1491902619600296,MP5-SD | Kitbash (Minimal Wear)
4.59,0.1355067938566208,MP5-SD | Kitbash (Minimal Wear)
4.6,0.13354137539863586,MP5-SD | Kitbash (Minimal Wear)
4.62,0.14221052825450897,MP5-SD | Kitbash (Minimal Wear)
4.63,0.13127027451992035,MP5-SD | Kitbash (Minimal Wear)
4.63,0.13568435609340668,MP5-SD | Kitbash (Minimal Wear)
4.64,0.13927891850471497,MP5-SD | Kitbash (Minimal Wear)
4.64,0.1326826959848404,MP5-SD | Kitbash (Minimal Wear)
4.66,0.13062207400798798,MP5-SD | Kitbash (Minimal Wear)
4.67,0.13866984844207764,MP5-SD | Kitbash (Minimal Wear)
4.68,0.13861846923828125,MP5-SD | Kitbash (Minimal Wear)
4.68,0.1285080760717392,MP5-SD | Kitbash (Minimal Wear)
4.7,0.11520624160766602,MP5-SD | Kitbash (Minimal Wear)
4.7,0.11740221828222275,MP5-SD | Kitbash (Minimal Wear)
4.7,0.1406392902135849,MP5-SD | Kitbash (Minimal Wear)
4.7,0.1499238908290863,MP5-SD | Kitbash (Minimal Wear)
4.7,0.13677988946437836,MP5-SD | Kitbash (Minimal Wear)
4.7,0.14734157919883728,MP5-SD | Kitbash (Minimal Wear)
4.7,0.1480458825826645,MP5-SD | Kitbash (Minimal Wear)
4.7,0.13126696646213531,MP5-SD | Kitbash (Minimal Wear)
4.7,0.1342272162437439,MP5-SD | Kitbash (Minimal Wear)
4.7,0.13292638957500458,MP5-SD | Kitbash (Minimal Wear)
4.7,0.1400686651468277,MP5-SD | Kitbash (Minimal Wear)
4.7,0.13905881345272064,MP5-SD | Kitbash (Minimal Wear)
4.7,0.12846225500106812,MP5-SD | Kitbash (Minimal Wear)
4.7,0.13044054806232452,MP5-SD | Kitbash (Minimal Wear)
4.7,0.12445385754108429,MP5-SD | Kitbash (Minimal Wear)
4.7,0.12242349237203598,MP5-SD | Kitbash (Minimal Wear)
4.7,0.12712977826595306,MP5-SD | Kitbash (Minimal Wear)
4.7,0.13590450584888458,MP5-SD | Kitbash (Minimal Wear)
4.71,0.13290460407733917,MP5-SD | Kitbash (Minimal Wear)
4.71,0.13904322683811188,MP5-SD | Kitbash (Minimal Wear)
4.72,0.14260733127593994,MP5-SD | Kitbash (Minimal Wear)
4.72,0.14110037684440613,MP5-SD | Kitbash (Minimal Wear)
4.72,0.14234216511249542,MP5-SD | Kitbash (Minimal Wear)
4.72,0.1489596664905548,MP5-SD | Kitbash (Minimal Wear)
4.72,0.14656756818294525,MP5-SD | Kitbash (Minimal Wear)
4.72,0.14693193137645721,MP5-SD | Kitbash (Minimal Wear)
4.72,0.14722004532814026,MP5-SD | Kitbash (Minimal Wear)
4.72,0.14015784859657288,MP5-SD | Kitbash (Minimal Wear)
4.72,0.14919404685497284,MP5-SD | Kitbash (Minimal Wear)
4.72,0.13466763496398926,MP5-SD | Kitbash (Minimal Wear)
4.72,0.14620618522167206,MP5-SD | Kitbash (Minimal Wear)
4.72,0.14952771365642548,MP5-SD | Kitbash (Minimal Wear)
4.72,0.14879059791564941,MP5-SD | Kitbash (Minimal Wear)
4.72,0.13108079135417938,MP5-SD | Kitbash (Minimal Wear)
4.78,0.13909399509429932,MP5-SD | Kitbash (Minimal Wear)
4.8,0.13099807500839233,MP5-SD | Kitbash (Minimal Wear)
4.83,0.13999274373054504,MP5-SD | Kitbash (Minimal Wear)
4.83,0.13932092487812042,MP5-SD | Kitbash (Minimal Wear)
