4.29,0.24322132766246796,P250 | Inferno (Field-Tested)
4.29,0.28761234879493713,P250 | Inferno (Field-Tested)
4.29,0.27231717109680176,P250 | Inferno (Field-Tested)
4.29,0.2467813789844513,P250 | Inferno (Field-Tested)
4.29,0.2902650833129883,P250 | Inferno (Field-Tested)
4.29,0.2906535267829895,P250 | Inferno (Field-Tested)
4.29,0.27902767062187195,P250 | Inferno (Field-Tested)
4.29,0.28805097937583923,P250 | Inferno (Field-Tested)
4.29,0.24790920317173004,P250 | Inferno (Field-Tested)
4.29,0.3459133803844452,P250 | Inferno (Field-Tested)
4.29,0.28613293170928955,P250 | Inferno (Field-Tested)
4.29,0.2882949113845825,P250 | Inferno (Field-Tested)
4.29,0.301125168800354,P250 | Inferno (Field-Tested)
4.29,0.34300491213798523,P250 | Inferno (Field-Tested)
4.29,0.2885277569293976,P250 | Inferno (Field-Tested)
4.29,0.2914994955062866,P250 | Inferno (Field-Tested)
4.29,0.25174835324287415,P250 | Inferno (Field-Tested)
4.29,0.24481330811977386,P250 | Inferno (Field-Tested)
4.29,0.27250605821609497,P250 | Inferno (Field-Tested)
4.29,0.2510443925857544,P250 | Inferno (Field-Tested)
4.29,0.32867202162742615,P250 | Inferno (Field-Tested)
4.29,0.2706820070743561,P250 | Inferno (Field-Tested)
4.29,0.2582484185695648,P250 | Inferno (Field-Tested)
4.29,0.2908812165260315,P250 | Inferno (Field-Tested)
4.3,0.303349107503891,P250 | Inferno (Field-Tested)
4.3,0.37381166219711304,P250 | Inferno (Field-Tested)
4.3,0.2961275279521942,P250 | Inferno (Field-Tested)
4.3,0.2730267345905304,P250 | Inferno (Field-Tested)
4.3,0.2448989897966385,P250 | Inferno (Field-Tested)
4.3,0.2740117013454437,P250 | Inferno (Field-Tested)
4.3,0.29387134313583374,P250 | Inferno (Field-Tested)
4.4,0.32977235317230225,P250 | Inferno (Field-Tested)
4.4,0.3776194751262665,P250 | Inferno (Field-Tested)
4.4,0.2935107350349426,P250 | Inferno (Field-Tested)
4.4,0.29605239629745483,P250 | Inferno (Field-Tested)
4.4,0.27986088395118713,P250 | Inferno (Field-Tested)
4.4,0.3040379285812378,P250 | Inferno (Field-Tested)
4.4,0.2798040509223938,P250 | Inferno (Field-Tested)
4.4,0.33741289377212524,P250 | Inferno (Field-Tested)
4.6,0.21546509861946106,P250 | Inferno (Field-Tested)
4.6,0.22075341641902924,P250 | Inferno (Field-Tested)
4.6,0.2322104275226593,P250 | Inferno (Field-Tested)
4.6,0.22790654003620148,P250 | Inferno (Field-Tested)
4.6,0.2228410542011261,P250 | Inferno (Field-Tested)
4.6,0.2373504638671875,P250 | Inferno (Field-Tested)
4.61,0.21940983831882477,P250 | Inferno (Field-Tested)
4.62,0.2895445227622986,P250 | Inferno (Field-Tested)
4.62,0.2128884196281433,P250 | Inferno (Field-Tested)
4.62,0.23460732400417328,P250 | Inferno (Field-Tested)
4.63,0.23184293508529663,P250 | Inferno (Field-Tested)
4.63,0.221356600522995,P250 | Inferno (Field-Tested)
4.64,0.23873570561408997,P250 | Inferno (Field-Tested)
4.69,0.27698206901550293,P250 | Inferno (Field-Tested)
4.78,0.2999798059463501,P250 | Inferno (Field-Tested)
4.78,0.23381710052490234,P250 | Inferno (Field-Tested)
4.78,0.24175849556922913,P250 | Inferno (Field-Tested)
4.78,0.2438761591911316,P250 | Inferno (Field-Tested)
4.78,0.26933079957962036,P250 | Inferno (Field-Tested)
4.78,0.22855812311172485,P250 | Inferno (Field-Tested)
4.79,0.23470580577850342,P250 | Inferno (Field-Tested)
4.8,0.28007733821868896,P250 | Inferno (Field-Tested)
4.81,0.37331804633140564,P250 | Inferno (Field-Tested)
4.83,0.2221514880657196,P250 | Inferno (Field-Tested)
4.84,0.30304738879203796,P250 | Inferno (Field-Tested)
4.85,0.18939732015132904,P250 | Inferno (Field-Tested)
4.85,0.20863859355449677,P250 | Inferno (Field-Tested)
4.85,0.1956738978624344,P250 | Inferno (Field-Tested)
4.85,0.2045711725950241,P250 | Inferno (Field-Tested)
4.85,0.1876876801252365,P250 | Inferno (Field-Tested)
4.85,0.20487257838249207,P250 | Inferno (Field-Tested)
4.85,0.19167089462280273,P250 | Inferno (Field-Tested)
4.85,0.18569642305374146,P250 | Inferno (Field-Tested)
4.85,0.20117978751659393,P250 | Inferno (Field-Tested)
4.85,0.20502713322639465,P250 | Inferno (Field-Tested)
4.85,0.18530432879924774,P250 | Inferno (Field-Tested)
4.85,0.1959499567747116,P250 | Inferno (Field-Tested)
4.86,0.2947961390018463,P250 | Inferno (Field-Tested)
4.86,0.25509676337242126,P250 | Inferno (Field-Tested)
4.86,0.3057994544506073,P250 | Inferno (Field-Tested)
4.86,0.2718844711780548,P250 | Inferno (Field-Tested)
4.86,0.23219388723373413,P250 | Inferno (Field-Tested)
4.86,0.241670161485672,P250 | Inferno (Field-Tested)
4.86,0.270574152469635,P250 | Inferno (Field-Tested)
4.86,0.27116522192955017,P250 | Inferno (Field-Tested)
4.86,0.237555593252182,P250 | Inferno (Field-Tested)
4.86,0.20068378746509552,P250 | Inferno (Field-Tested)
4.86,0.19781573116779327,P250 | Inferno (Field-Tested)
4.87,0.2849051356315613,P250 | Inferno (Field-Tested)
4.87,0.24525906145572662,P250 | Inferno (Field-Tested)
4.87,0.2347458153963089,P250 | Inferno (Field-Tested)
4.87,0.3041967451572418,P250 | Inferno (Field-Tested)
4.87,0.2846234440803528,P250 | Inferno (Field-Tested)
4.87,0.28155168890953064,P250 | Inferno (Field-Tested)
4.87,0.2672998905181885,P250 | Inferno (Field-Tested)
4.87,0.2563060522079468,P250 | Inferno (Field-Tested)
4.87,0.28299158811569214,P250 | Inferno (Field-Tested)
4.87,0.27210479974746704,P250 | Inferno (Field-Tested)
4.87,0.24749873578548431,P250 | Inferno (Field-Tested)
4.87,0.23613744974136353,P250 | Inferno (Field-Tested)
4.87,0.29093092679977417,P250 | Inferno (Field-Tested)
4.87,0.23137778043746948,P250 | Inferno (Field-Tested)
4.87,0.1977553367614746,P250 | Inferno (Field-Tested)
4.87,0.20774435997009277,P250 | Inferno (Field-Tested)
4.88,0.21793581545352936,P250 | Inferno (Field-Tested)
4.89,0.2004138082265854,P250 | Inferno (Field-Tested)
4.89,0.19837801158428192,P250 | Inferno (Field-Tested)
4.9,0.19313929975032806,P250 | Inferno (Field-Tested)
4.9,0.20716312527656555,P250 | Inferno (Field-Tested)
4.99,0.20974120497703552,P250 | Inferno (Field-Tested)
4.99,0.20875610411167145,P250 | Inferno (Field-Tested)
5,0.3228922486305237,P250 | Inferno (Field-Tested)
5,0.20369423925876617,P250 | Inferno (Field-Tested)
5,0.2060932070016861,P250 | Inferno (Field-Tested)
5,0.2882968485355377,P250 | Inferno (Field-Tested)
5,0.2083745151758194,P250 | Inferno (Field-Tested)
5.1,0.1964980959892273,P250 | Inferno (Field-Tested)
5.1,0.19346825778484344,P250 | Inferno (Field-Tested)
5.2,0.19989855587482452,P250 | Inferno (Field-Tested)
5.2,0.20184743404388428,P250 | Inferno (Field-Tested)
5.24,0.29900118708610535,P250 | Inferno (Field-Tested)
5.24,0.2523145079612732,P250 | Inferno (Field-Tested)
5.24,0.2898048162460327,P250 | Inferno (Field-Tested)
5.24,0.29219746589660645,P250 | Inferno (Field-Tested)
5.24,0.29345834255218506,P250 | Inferno (Field-Tested)
5.24,0.37740984559059143,P250 | Inferno (Field-Tested)
5.32,0.20242004096508026,P250 | Inferno (Field-Tested)
5.32,0.1881922483444214,P250 | Inferno (Field-Tested)
5.38,0.16958080232143402,P250 | Inferno (Field-Tested)
5.38,0.16442689299583435,P250 | Inferno (Field-Tested)
5.38,0.16414062678813934,P250 | Inferno (Field-Tested)
5.38,0.17824669182300568,P250 | Inferno (Field-Tested)
5.38,0.16566655039787292,P250 | Inferno (Field-Tested)
5.38,0.17106576263904572,P250 | Inferno (Field-Tested)
5.38,0.17701801657676697,P250 | Inferno (Field-Tested)
5.38,0.17038097977638245,P250 | Inferno (Field-Tested)
5.38,0.16116365790367126,P250 | Inferno (Field-Tested)
5.39,0.1727144569158554,P250 | Inferno (Field-Tested)
5.4,0.1780058592557907,P250 | Inferno (Field-Tested)
5.46,0.2016858607530594,P250 | Inferno (Field-Tested)
5.47,0.17860601842403412,P250 | Inferno (Field-Tested)
5.49,0.20857444405555725,P250 | Inferno (Field-Tested)
5.49,0.195966899394989,P250 | Inferno (Field-Tested)
5.49,0.19333681464195251,P250 | Inferno (Field-Tested)
5.49,0.2687161862850189,P250 | Inferno (Field-Tested)
5.5,0.30076149106025696,P250 | Inferno (Field-Tested)
5.5,0.2957741320133209,P250 | Inferno (Field-Tested)
5.5,0.2491145133972168,P250 | Inferno (Field-Tested)
5.56,0.17708422243595123,P250 | Inferno (Field-Tested)
5.59,0.18258051574230194,P250 | Inferno (Field-Tested)
5.59,0.18180610239505768,P250 | Inferno (Field-Tested)
5.59,0.18489192426204681,P250 | Inferno (Field-Tested)
5.6,0.17838740348815918,P250 | Inferno (Field-Tested)
5.6,0.17810210585594177,P250 | Inferno (Field-Tested)
5.6,0.19870314002037048,P250 | Inferno (Field-Tested)
5.6,0.18633417785167694,P250 | Inferno (Field-Tested)
5.6,0.19267447292804718,P250 | Inferno (Field-Tested)
5.6,0.18454253673553467,P250 | Inferno (Field-Tested)
5.6,0.18240001797676086,P250 | Inferno (Field-Tested)
5.6,0.1863892674446106,P250 | Inferno (Field-Tested)
5.62,0.27120208740234375,P250 | Inferno (Field-Tested)
5.63,0.27168014645576477,P250 | Inferno (Field-Tested)
5.63,0.18480947613716125,P250 | Inferno (Field-Tested)
5.64,0.18379631638526917,P250 | Inferno (Field-Tested)
5.72,0.17592975497245789,P250 | Inferno (Field-Tested)
5.72,0.1758512556552887,P250 | Inferno (Field-Tested)
5.74,0.15093788504600525,P250 | Inferno (Field-Tested)
5.74,0.17811426520347595,P250 | Inferno (Field-Tested)
5.75,0.15054193139076233,P250 | Inferno (Field-Tested)
5.75,0.159258171916008,P250 | Inferno (Field-Tested)
5.75,0.1526632159948349,P250 | Inferno (Field-Tested)
5.75,0.15875107049942017,P250 | Inferno (Field-Tested)
5.75,0.15083996951580048,P250 | Inferno (Field-Tested)
5.75,0.15740439295768738,P250 | Inferno (Field-Tested)
5.75,0.159563809633255,P250 | Inferno (Field-Tested)
5.76,0.15212909877300262,P250 | Inferno (Field-Tested)
5.76,0.15291239321231842,P250 | Inferno (Field-Tested)
5.76,0.1532449871301651,P250 | Inferno (Field-Tested)
5.79,0.2031681090593338,P250 | Inferno (Field-Tested)
5.79,0.1572819948196411,P250 | Inferno (Field-Tested)
